Id,JobTitle,Company,Location,Salary,TypeofJob,Description,Require,MoreInfo
6527,Lập Trình Viên (.NET/C#/ASP.NET/VB.NET/JAVASCRIPT) ~ 10M - 25M,SSE (Solution Software Enterprise),"Quận Thanh Xuân, Hà Nội","10,000,000 - 25,000,000 VND",Phần Mềm,,"ASP.NET, JavaScript, .NET, VB.NET, ReactJS, VueJS",https://topdev.vn/viec-lam/lap-trinh-vien-net-c-asp-net-vb-net-javascript-10m-25m-sse-solution-software-enterprise-2026578
6528,Middle/Senior Front-end Developer,ISB Vietnam,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Outsourcing",,"Front-End, ReactJS, TypeScript, NextJS",https://topdev.vn/viec-lam/middle-senior-front-end-developer-isb-vietnam-2026583
6529,"Android Developer (Java, Kotlin)",ISB Vietnam,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Outsourcing",,"Android, Java, Kotlin",https://topdev.vn/viec-lam/android-developer-java-kotlin-isb-vietnam-2026584
6530,Android Developer,2359 Media,"Quận 10, Hồ Chí Minh",Thương lượng,Phần Mềm,,"Android, Java, JSON, API, Kotlin, REST API",https://topdev.vn/viec-lam/android-developer-2359-media-2026581
6531,"Android Developer (Java, Kotlin)",ISB Vietnam,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Outsourcing",,"Android, Java, Kotlin",https://topdev.vn/viec-lam/android-developer-java-kotlin-isb-vietnam-2026584
6532,Game Designer,Metamars,"Quận Cầu Giấy, Hà Nội","700 - 1,300 USD",Giải trí/ Game,,Game Design,https://topdev.vn/viec-lam/game-designer-metamars-2026594
6533,UNITY GAME DEVELOPER,Metamars,"Quận Cầu Giấy, Hà Nội","700 - 1,300 USD",Giải trí/ Game,,Unity,https://topdev.vn/viec-lam/unity-game-developer-metamars-2026593
6534,Chuyên Viên Animation 2D,Metamars,"Quận Cầu Giấy, Hà Nội","700 - 1,000 USD",Giải trí/ Game,,Animation 2D,https://topdev.vn/viec-lam/chuyen-vien-animation-2d-metamars-2026591
6535,2D Artist Game,Metamars,"Quận Cầu Giấy, Hà Nội","700 - 1,300 USD",Giải trí/ Game,,2D Artist,https://topdev.vn/viec-lam/2d-artist-game-metamars-2026592
6536,Experienced C/C++ Developer,ISB Vietnam,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Outsourcing",,C/C++,https://topdev.vn/viec-lam/experienced-c-c-developer-isb-vietnam-2026585
6537,UI/UX Designer,Advesa Digital Solutions,"Quận Ba Đình, Hà Nội - None",Thương lượng,"Product, Phần Mềm",,"UX/UI Design, Product Design",https://topdev.vn/viec-lam/ui-ux-designer-advesa-digital-solutions-2026595
6538,[DI2] Senior Mobile App Developer (Flutter / React Native) - 1Y336,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội - Quận 1, Hồ Chí Minh","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin",Vị trí này thuộc Chương trình tuyển dụng MSB D-Innovation 02 - Chương trình tuyển dụng Công nghệ thường niên lớn nhất của của Ngân hàng TMCP Hàng Hải...,"Android, iOS, Mobile, React Native, Flutter",https://topdev.vn/viec-lam/di2-senior-mobile-app-developer-flutter-react-native-1y336-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026627
6539,"[DI2] Senior Frontend Developer (Reactjs, Javascript) - 1Y338",Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin",Vị trí này thuộc Chương trình tuyển dụng MSB D-Innovation 02 - Chương trình tuyển dụng Công nghệ thường niên lớn nhất của của Ngân hàng TMCP Hàng Hải...,"JavaScript, Front-End, ReactJS, TypeScript",https://topdev.vn/viec-lam/di2-senior-frontend-developer-reactjs-javascript-1y338-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026628
6540,Kỹ sư lập trình Firmware,Công ty Cổ Phần Công Nghệ Điện Tử & Viễn Thông Việt Nam (VNETGPS),"Quận Bắc Từ Liêm, Hà Nội","Lên tới 1,000 USD",Phần Mềm,,Firmware,https://topdev.vn/viec-lam/ky-su-lap-trinh-firmware-cong-ty-co-phan-cong-nghe-dien-tu-vien-thong-viet-nam-vnetgps-2026596
6541,IT Support/ Global Service Desk Analysis,Swiss Post Solutions (SPS),"Quận 12, Hồ Chí Minh","500 - 1,100 USD",Dịch vụ IT,Principal duties: Support our customers around the world following processes and workflows defined and designed base on ITIL framework  Communicate a...,"IT Support, System Admin, English - Good, IT Service",https://topdev.vn/viec-lam/it-support-global-service-desk-analysis-swiss-post-solutions-sps-2026623
6542,Mobile App Developer,Công Ty CP Dược Phẩm Pharmacity,"Thành phố Thủ Đức, Quận Bình Thạnh - Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,Our Pharmacity Organization needs Mobile App Developer to join our growing IT team. We are looking for a professional with experience in both informat...,"Web/ Mobile, React Native, CI/CD, UX/UI Design, Front-End",https://topdev.vn/viec-lam/mobile-app-developer-cong-ty-cp-duoc-pham-pharmacity-2026613
6543,"[DI2] Senior Java Developer (Ee, Spring, Hibernate) - 1Y339",Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội - Quận 1, Hồ Chí Minh","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin",Vị trí này thuộc Chương trình tuyển dụng MSB D-Innovation 02 - Chương trình tuyển dụng Công nghệ thường niên lớn nhất của của Ngân hàng TMCP Hàng Hải...,"Java, Spring, Java Core, Java EE, Hibernate",https://topdev.vn/viec-lam/di2-senior-java-developer-ee-spring-hibernate-1y339-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026629
6544,"[DI2] Solution Architect (AWS, Java) - 1Y345",Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin",This position belongs to MSB D-Innovation 02 - The most extensive annual IT recruitment program of MSB. The highest goal of the Program is to create o...,"Solution Architect, Agile, DevOps",https://topdev.vn/viec-lam/di2-solution-architect-aws-java-1y345-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026630
6545,[DI2] Senior Big Data Architecture - 1Y340,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội - Quận 1, Hồ Chí Minh","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin",Vị trí này thuộc Chương trình tuyển dụng MSB D-Innovation 02 - Chương trình tuyển dụng Công nghệ thường niên lớn nhất của của Ngân hàng TMCP Hàng Hải...,"Big Data, Machine Learning, Data Architecture",https://topdev.vn/viec-lam/di2-senior-big-data-architecture-1y340-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026636
6546,[DI2] Senior/Expert Data Scientist - 1Y341,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin",This position belongs to MSB D-Innovation 02 - The most extensive annual IT recruitment program of MSB. The highest goal of the Program is to create o...,"Java, Python, Scala, Data Science",https://topdev.vn/viec-lam/di2-senior-expert-data-scientist-1y341-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026635
6547,[DI2] Senior Business Analyst (Agile) - 1Y344,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội - Quận 1, Hồ Chí Minh","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin",Vị trí này thuộc Chương trình tuyển dụng MSB D-Innovation 02 - Chương trình tuyển dụng Công nghệ thường niên lớn nhất của của Ngân hàng TMCP Hàng Hải...,"Agile, Business Analyst",https://topdev.vn/viec-lam/di2-senior-business-analyst-agile-1y344-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026632
6548,Product Manager (Merchant),TAPTAP,"Quận 1, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,,"Product Manager, Software Developer, Business Analyst, Product Design, UX/UI Design",https://topdev.vn/viec-lam/product-manager-merchant-taptap-2026641
6549,Unity Developer (C#/Unity/NFT Game) ~ $3000,VITALIFY ASIA ( Công ty TNHH Vitalify Á Châu),"Quận 3, Hồ Chí Minh","Lên tới 3,000 USD",Phần Mềm,Top 3 Reasons To Join Us Competitive salary Macbook Pro Flexible and friendly working environment,"C#, Unity, .NET",https://topdev.vn/viec-lam/unity-developer-c-unity-nft-game-3000-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2026754
6550,Front-End Engineer (VueJS/UX) ~ $1700,VITALIFY ASIA ( Công ty TNHH Vitalify Á Châu),"Quận 3, Hồ Chí Minh","Lên tới 1,700 USD",Phần Mềm,,"Front-End, VueJS, JavaScript",https://topdev.vn/viec-lam/front-end-engineer-vuejs-ux-1700-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2026753
6551,Project Manager,FPT Information System,"Quận 7, Hồ Chí Minh - Quận Nam Từ Liêm, Hà Nội",Thương lượng,Phần Mềm,,"Agile, Product Manager, Software Developer, Videos Editor",https://topdev.vn/viec-lam/project-manager-fpt-information-system-2026642
6552,"Back-End Developer (NodeJS/GraphQL API) ~ $1,700",VITALIFY ASIA ( Công ty TNHH Vitalify Á Châu),"Quận 3, Hồ Chí Minh","Lên tới 1,700 USD",Phần Mềm,,"NodeJS, Back-End, API, NextJS, GraphQL, JavaScript",https://topdev.vn/viec-lam/back-end-developer-nodejs-graphql-api-1-700-vitalify-asia-cong-ty-tnhh-vitalify-a-chau-2026755
6553,[Urgent] Back-end Java Developer | Offer Up to 80Mil VND+++,GEE PACIFIC TECHNOLOGY SERVICE,"Quận Bình Thạnh, Hồ Chí Minh","45,000,000 - 80,000,000 VND","Dịch vụ IT, Software",,"Java, MySQL, J2EE, Back-End",https://topdev.vn/viec-lam/urgent-back-end-java-developer-offer-up-to-80mil-vnd-gee-pacific-technology-service-2026757
6554,.NET Developers (.NET/ .NET Core/ Angular/ React),Công ty Cổ phần Tập đoàn Trí Nam,"Quận Cầu Giấy, Hà Nội","700 - 2,500 USD","Product, Dịch vụ IT",,".NET, .NET Core, MVC, Microsoft, C#",https://topdev.vn/viec-lam/net-developers-net-net-core-angular-react-cong-ty-co-phan-tap-doan-tri-nam-2026756
6555,[Fulltime HN] Senior Java Developer,BnK Solutions,"Quận Cầu Giấy, Hà Nội",Thương lượng,Phần Mềm,,"Java, JavaScript, Java Core, Java Spring Boot, Spring",https://topdev.vn/viec-lam/fulltime-hn-senior-java-developer-bnk-solutions-2026758
6556,2 Blockchain Developer,iTD Group,"Quận 7, Hồ Chí Minh","Lên tới 60,000,000 VND",Fintech,"We are Intelnet, a Fintech Start-up based on Blockchains Platform","NodeJS, Back-End, Database, Agile & Scrum, Blockchain, Solidity",https://topdev.vn/viec-lam/2-blockchain-developer-itd-group-2026821
6557,Back-end Developer (NodeJS),iTD Group,"Quận 7, Hồ Chí Minh","Lên tới 50,000,000 VND",Fintech,"Chúng tôi là Intelnet, một Start-up về Fintech dựa trên nền tảng Blockchains","NodeJS, HTML & CSS, Angular, React, VueJS, JavaScript",https://topdev.vn/viec-lam/back-end-developer-nodejs-itd-group-2026822
6558,"Back-End Developer (NodeJS, ASP.Net Core)",Lucky Tech,"Quận 11, Hồ Chí Minh","Lên tới 25,000,000 VND",Phần Mềm,,"JavaScript, NodeJS, Blockchain, ASP.NET Core",https://topdev.vn/viec-lam/back-end-developer-nodejs-asp-net-core-lucky-tech-2026768
6559,React Native,Lucky Tech,"Quận 11, Hồ Chí Minh","Lên tới 25,000,000 VND",Phần Mềm,,"Android, iOS, React Native, Mobile, JavaScript",https://topdev.vn/viec-lam/react-native-lucky-tech-2026767
6560,"Front-end Developer (JavaScript, VueJS, HTML/CSS)",iTD Group,"Quận 7, Hồ Chí Minh","20,000,000 - 35,000,000 VND",Fintech,"Chúng tôi là Intelnet, một Start-up về Fintech dựa trên nền tảng Blockchains","HTML5, JSON, CSS3, VueJS, SCSS, ES6, JavaScript",https://topdev.vn/viec-lam/front-end-developer-javascript-vuejs-html-css-itd-group-2026823
6561,[Remote/Fulltime] Senior Golang Developer,FABA Technology,"Quận Phú Nhuận, Hồ Chí Minh",Thương lượng,Phần Mềm,The Opportunity: The position of Senior Golang Developer provides you with an amazing opportunity to work on a project of a leading Singapore softwar...,"Golang, Database, English Skills",https://topdev.vn/viec-lam/remote-fulltime-senior-golang-developer-faba-technology-2026832
6562,KỸ SƯ PHÁT TRIỂN HỆ THỐNG C/C++,CÔNG TY TNHH CUNG CẤP GIẢI PHÁP DỊCH VỤ GIÁ TRỊ GIA TĂNG (VIVAS),"Quận Cầu Giấy, Hà Nội",Thương lượng,Phần Mềm,,"Linux, C/C++, Unix, C++",https://topdev.vn/viec-lam/ky-su-phat-trien-he-thong-c-c-cong-ty-tnhh-cung-cap-giai-phap-dich-vu-gia-tri-gia-tang-vivas-2026830
6563,[Junior/Senior] UNITY DEVELOPER,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN CUCKOOKOO,"Quận Gò Vấp, Hồ Chí Minh","Từ 1,000 USD","Software, Information Technology",Cuckookoo đang tìm kiếm Unity Developer cho các sản phẩm về game của công ty. Công ty vẫn nhận CV của các ứng viên fresher có tiềm năng phát triển và...,"Android, Unity, Java, C#, Kotlin, iOS, Unity3d, Unity2D",https://topdev.vn/viec-lam/junior-senior-unity-developer-cong-ty-co-phan-giai-phap-cong-nghe-thong-tin-cuckookoo-2026835
6564,Kỹ Sư Cầu Nối Việt - Nhật (BrSE),SOFTWORLD VIETNAM LTD.,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,"Phần Mềm, Creative Production, E-commerce Platforms, Product, Outsourcing","Top 4 Reasons To Join Us: Bạn sẽ được phát triển bản thân với phương châm WIN WIN Bạn sẽ được làm việc trong môi trường trẻ, đầy năng động. Bạn s...","Japanese - N2, BrSE",https://topdev.vn/viec-lam/ky-su-cau-noi-viet-nhat-brse-softworld-vietnam-ltd-2026834
6565,"Back-end Web Developer (PHP, MySQL, Ajax)",BIN CORPORATION GROUP VIỆT NAM,"Quận 7, Hồ Chí Minh","10,000,000 - 20,000,000 VND","Dịch vụ doanh nghiệp, Thương mại điện tử/ Bán lẻ, Quảng Cáo Truyền Thông, Phần Mềm, Bất động sản, Tài Chính",BIN CORPORATION GROUP là công ty PRODUCT (IN HOUSE) với kinh nghiệm 13 năm phát triển các Dự án Thương mại điện tử Quốc tế CHUYÊN phục vụ thị trường k...,"PHP, MySQL, Ajax, Web, Back-End",https://topdev.vn/viec-lam/back-end-web-developer-php-mysql-ajax-bin-corporation-group-viet-nam-2026836
6566,Unity Developer,The Minders Studio,"Quận Cầu Giấy, Hà Nội","500 - 1,500 USD",Giải trí/ Game,,"Unity, Game",https://topdev.vn/viec-lam/unity-developer-the-minders-studio-2026840
6567,"Back-end Developer (Javascript, NodeJS)",BrickMate Group,"Quận 10, Hồ Chí Minh - None","700 - 2,000 USD","Phần Mềm, Outsourcing, Product",,"Python, REST API, Golang, ExpressJS, NodeJS, Web Service, Nest JS",https://topdev.vn/viec-lam/back-end-developer-javascript-nodejs-brickmate-group-2026841
6568,"06 BUSINESS ANALYST (PRODUCT, UI-UX)",BIN CORPORATION GROUP VIỆT NAM,"Quận 7, Hồ Chí Minh","10,000,000 - 20,000,000 VND","Dịch vụ doanh nghiệp, Thương mại điện tử/ Bán lẻ, Quảng Cáo Truyền Thông, Phần Mềm, Bất động sản, Tài Chính",,"Business Analyst, UX/UI Design",https://topdev.vn/viec-lam/06-business-analyst-product-ui-ux-bin-corporation-group-viet-nam-2026837
6569,"PHP Developer (HTML, CSS, JavaScript)",Công ty Cổ phần Công nghệ số Thiên Quang,"Quận Cầu Giấy, Hà Nội","Lên tới 25,000,000 VND",Phần Mềm,,"PHP, JSON, CodeIgniter, HTML & CSS, JavaScript, JQuery, Ajax",https://topdev.vn/viec-lam/php-developer-html-css-javascript-cong-ty-co-phan-cong-nghe-so-thien-quang-2026838
6570,"Web Developer (Javascript, Typescript)",BrickMate Group,"Quận 10, Hồ Chí Minh - None","700 - 2,000 USD","Phần Mềm, Outsourcing, Product",,"HTML5, MySQL, MongoDB, REST API, CSS3, VueJS, Angular, React JS, Web Service",https://topdev.vn/viec-lam/web-developer-javascript-typescript-brickmate-group-2026844
6571,Quality Controller (QC),DaouKiwoom Innovation,"Quận Bình Thạnh, Hồ Chí Minh","600 - 1,000 USD",Phần Mềm,"Read and verify product Requirements/Design Specification. Create and maintain Test plan, Test cases/Checklist. Execute Manual, Performance and Au...","QC, Automation Tester, Manual Test",https://topdev.vn/viec-lam/quality-controller-qc-daoukiwoom-innovation-2026877
6572,Golang Engineer - Fresher,Money Forward Vietnam,"Quận 4, Hồ Chí Minh",Thương lượng,Phần Mềm,TOP 3 REASONS TO JOIN THIS PROGRAM Learning and training opportunities with our Tech experts Practical experience working in leading SaaS product...,Golang,https://topdev.vn/viec-lam/golang-engineer-fresher-money-forward-vietnam-2026842
6573,"Back-end Developer (Java, Spring, Spring Boot)",BrickMate Group,"Quận 10, Hồ Chí Minh - None","700 - 2,000 USD","Phần Mềm, Outsourcing, Product",,"Java, MySQL, MongoDB, REST API, Microsoft, Spring Boot, Spring, Web Service",https://topdev.vn/viec-lam/back-end-developer-java-spring-spring-boot-brickmate-group-2026843
6574,HOT RPA Developer,Würth Industry Service (Vietnam),"Quận Tân Bình, Hồ Chí Minh",Thương lượng,B2B Services,,"C++, Java, .NET, C/C++, RPA using UiPath",https://topdev.vn/viec-lam/rpa-developer-wurth-industry-service-vietnam-2026878
6575,Full-stack Developer (All levels),TecAlliance Vietnam,"Quận 3, Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Gia công phần mềm",,"JavaScript, .NET, Full-Stack, Angular, .NET Core",https://topdev.vn/viec-lam/full-stack-developer-all-levels-tecalliance-vietnam-2026948
6576,Solution Architect/ Details Design,Ngân hàng Quốc Tế VIB,"Quận 1, Hồ Chí Minh - Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"Solution Architect, Designer",https://topdev.vn/viec-lam/solution-architect-details-design-ngan-hang-quoc-te-vib-2026889
6577,Senior Developer - Plugins (PHP/JavaScript),SCALEFLEX,"Quận 3, Hồ Chí Minh",Thương lượng,"Dịch vụ IT, B2B Services, Công nghệ thông tin, Product",This is a unique opportunity in a rapidly expanding company with the goal of fully integrating the team as a Senior Developer & Plugins Squad leader...,"PHP, JavaScript, Python",https://topdev.vn/viec-lam/senior-developer-plugins-php-javascript-scaleflex-2026953
6578,HOT Data Conversion Engineer,Titan DMS Pty. Ltd,"Quận 11, Hồ Chí Minh",Thương lượng,Phần Mềm,Working as part of a larger DB team to provide ongoing Production support to our customers and internal staff. This involves with investigate Produc...,"SQL, Database Administrator",https://topdev.vn/viec-lam/data-conversion-engineer-titan-dms-pty-ltd-2026985
6579,HOT Chuyên viên cao cấp Phát triển ứng dụng Back-End,CÔNG TY CỔ PHẦN CHỨNG KHOÁN VPBANK,"Quận Đống Đa, Hà Nội","Lên tới 2,500 USD",Fintech,,"Back-End, Java Core, Spring Boot, Oracle, MongoDB, PostgreSQL, Spring, Microsoft, Kafka",https://topdev.vn/viec-lam/chuyen-vien-cao-cap-phat-trien-ung-dung-back-end-cong-ty-co-phan-chung-khoan-vpbank-2026988
6580,HOT Back-end Engineer,Meta Tech,"Quận Gò Vấp, Hồ Chí Minh","Lên tới 2,500 USD",Phần Mềm,Meta Tech - The company provides technology services. The company provides technology services. Kingdom Game 4.0 is one of Meta Tech's projects built....,"Java, NodeJS, MongoDB, API, Spring, PostgreSql, Back-End",https://topdev.vn/viec-lam/back-end-engineer-meta-tech-2026958
6581,HOT Fullstack Developer (m/f/d),ZOI.TECH SGN,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,Enjoy the magical world between big-name industry clients and a thriving nerd space. Come to the bright side of IT. Do you love a buzzing startup spi...,"JavaScript, C#, NodeJS, Full-Stack, ReactJS, VueJS, Angular 2, .NET Core",https://topdev.vn/viec-lam/fullstack-developer-m-f-d-zoi-tech-sgn-2026990
6582,HOT Quality Manager (m/f/d),ZOI.TECH SGN,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,Enjoy the magical world between big-name industry clients and a thriving nerd space. Come to the bright side of IT. Do you love a buzzing startup spi...,"QA, QC, Tester",https://topdev.vn/viec-lam/quality-manager-m-f-d-zoi-tech-sgn-2026991
6583,HOT System Admin,ZOI.TECH SGN,"Quận 1, Hồ Chí Minh",Thương lượng,Phần Mềm,Top 3 Reasons To Join Us Attractive salary International environment Onsite opportunity Enjoy the magical world between big-name industry clie...,System Admin,https://topdev.vn/viec-lam/system-admin-zoi-tech-sgn-2026992
6584,HOT AR/VR Designer,VTC Telecom,"Quận 10, Hồ Chí Minh",Thương lượng,Viễn Thông,,"VR/AR, Photoshop, Illustrator",https://topdev.vn/viec-lam/ar-vr-designer-vtc-telecom-2026998
6585,"HOT Mobile Developer (iOS, Android)",DaouKiwoom Innovation,"Quận Bình Thạnh, Hồ Chí Minh","Lên tới 3,000 USD",Phần Mềm,"If you are looking for a company where you can show your skills in a dynamic environment, please come to us! Being part of our company, you will work...","Swift, Android, iOS, Objective-C, Mobile, Kotlin",https://topdev.vn/viec-lam/mobile-developer-ios-android-daoukiwoom-innovation-2026996
6586,System Admin,MOBIFONE PLUS,"Quận Ba Đình, Hà Nội","8,000,000 - 18,000,000 VND",Viễn Thông,,"System Admin, MySQL, SQL Server",https://topdev.vn/viec-lam/system-admin-mobifone-plus-2026994
6587,"HOT Nhân Viên Lập Trình (ASP.NET MVC, C#)",VTC Telecom,"Quận 10, Hồ Chí Minh",Thương lượng,Viễn Thông,,"C#, SQL Server, ASP.NET MVC, API",https://topdev.vn/viec-lam/nhan-vien-lap-trinh-asp-net-mvc-c-vtc-telecom-2026997
6588,HOT Database Engineer,Công Ty CP Dược Phẩm Pharmacity,"Thành phố Thủ Đức, Quận Bình Thạnh - Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"Be responsible for database management including configuration, security, resource monitoring and reporting, troubleshooting, and the development of s...","SQL, Database, Azure, Data Warehouse, Apache",https://topdev.vn/viec-lam/database-engineer-cong-ty-cp-duoc-pham-pharmacity-2026995
6589,"Lập trình viên NodeJS (NestJS-ExpressJS, TypeORM)",ASIM TELECOM,"Quận Ba Đình, Hà Nội - Quận Tân Bình, Hồ Chí Minh",Thương lượng,Viễn Thông,"Mạng di động Local (Local) - nhà mạng thứ 8 tại VN do Công ty Cổ phần Viễn thông ASIM (ASIM Telecom) phát triển, kết hợp cung cấp dịch vụ di động dựa...","NodeJS, NestJS, Back-End",https://topdev.vn/viec-lam/lap-trinh-vien-nodejs-nestjs-expressjs-typeorm-asim-telecom-2027000
6590,HOT AUTOMATION TESTER,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh (HSC),"Quận 1, Hồ Chí Minh",Thương lượng,Chứng khoán,,"Tester, Automation Tester",https://topdev.vn/viec-lam/automation-tester-cong-ty-co-phan-chung-khoan-thanh-pho-ho-chi-minh-hsc-2027003
6591,Nhân viên Thiết kế và Quản trị cơ sở dữ liệu,Công ty Cổ phần Tập đoàn Lộc Trời,"Thành phố Thủ Đức, Hồ Chí Minh",Thương lượng,Nông nghiệp,"Thiết kế, quản trị hệ thống cơ sở dữ liệu: Chịu trách nhiệm xây dựng hệ thống dữ liệu quản trị (Database Warehouse). Quản trị và vận hành các hoạt đ...","API, Database Administrator",https://topdev.vn/viec-lam/nhan-vien-thiet-ke-va-quan-tri-co-so-du-lieu-cong-ty-co-phan-tap-doan-loc-troi-2027005
6592,"Quality Control Engineer (QA QC, Tester)",ASIM TELECOM,"Quận Ba Đình, Hà Nội - Quận Tân Bình, Hồ Chí Minh",Thương lượng,Viễn Thông,,"QC, Tester, Manual Tester",https://topdev.vn/viec-lam/quality-control-engineer-qa-qc-tester-asim-telecom-2027002
6593,"HOT (SENIOR) FRONT-END DEVELOPER (HTML, CSS, JavaScript)",Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh (HSC),"Quận 1, Hồ Chí Minh",Thương lượng,Chứng khoán,The Frontend Developer / Senior Frontend Developer is responsible for implementing and maintaining web pages that are optimized for different devices...,"CSS, JavaScript, HTML, Front-End",https://topdev.vn/viec-lam/senior-front-end-developer-html-css-javascript-cong-ty-co-phan-chung-khoan-thanh-pho-ho-chi-minh-hsc-2027001
6594,Junior Mobile App Developer (Java/ Swift/ Kotlin/ C#),Canvas.Asia,"Quận 1, Hồ Chí Minh","700 - 1,000 USD","Outsourcing, Software",,"Java, Swift, C#, Mobile, Kotlin, Android, iOS",https://topdev.vn/viec-lam/junior-mobile-app-developer-java-swift-kotlin-c-canvas-asia-2027006
6595,Chuyên viên Phòng Phát triển Ứng dụng (Java/.NET/C#),NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT,"Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"Java, C#, .NET, Spring, Spring Boot",https://topdev.vn/viec-lam/chuyen-vien-phong-phat-trien-ung-dung-java-net-c-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2027008
6596,Chuyên viên Ban Nghiên cứu - Công nghệ Số (AI/ Big Data/ Công Nghệ),NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT,"Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"Big Data, Blockchain, AI",https://topdev.vn/viec-lam/chuyen-vien-ban-nghien-cuu-cong-nghe-so-ai-big-data-cong-nghe-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2027010
6597,"Chuyên viên Phân tích Dữ liệu (Database Oracle, PostgreSQL, MySQL)",NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT,"Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"Oracle, MySQL, PostgreSQL, Data Analytics, Database",https://topdev.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-database-oracle-postgresql-mysql-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2027009
6598,Junior Web Developer (PHP/ .NET/ Java/ JS/ Python),Canvas.Asia,"Quận 1, Hồ Chí Minh","700 - 1,000 USD","Outsourcing, Software",,"PHP, Java, JavaScript, .NET, Python",https://topdev.vn/viec-lam/junior-web-developer-php-net-java-js-python-canvas-asia-2027007
6599,Remote Senior Web Engineer,Công ty TNHH MTV Giải Pháp Số TMN,"Thị xã Bình Minh, Vĩnh Long","1,500 - 1,900 USD",Gia công phần mềm,,"C#, Angular, ASP.NET, .NET, ASP.NET Core",https://topdev.vn/viec-lam/remote-senior-web-engineer-cong-ty-tnhh-mtv-giai-phap-so-tmn-2027011
6600,Trưởng Ban Tối ưu & Thiết kế UI/UX (Chuyên môn BA),NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT,"Quận Hoàn Kiếm, Hà Nội",Thương lượng,Ngân Hàng,,"UX/UI Design, Business Analyst",https://topdev.vn/viec-lam/truong-ban-toi-uu-thiet-ke-ui-ux-chuyen-mon-ba-ngan-hang-thuong-mai-co-phan-buu-dien-lien-viet-2027012
